名称,緯度,経度
千坂小学校（指定避難場所）,36.605736,136.674977
小坂公民館（指定避難場所）,36.593443,136.675689
星稜高等学校（指定避難場所）,36.585023,136.682477
北鳴中学校（指定避難場所）,36.595253,136.67622
小坂小学校（指定避難場所）,36.589766,136.677293
鳴和台市民体育会館（指定避難場所）,36.577076,136.679031
城北市民体育館（指定避難場所）,36.587548,136.669906
森山公民館（指定避難場所）,36.579432,136.669058
金沢桜丘高校（指定避難場所）,36.583607,136.678677
鳴和中学校（指定避難場所）,36.586661,136.671389
森山町小学校（指定避難場所）,36.57861,136.667744
浅野町公民館（指定避難場所）,36.586739,136.665312
浅野町小学校（指定避難場所）,36.581731,136.658818
馬場公民館（指定避難場所）,36.574477,136.665101
馬場小学校（指定避難場所）,36.574681,136.665491
瓢箪町公民館（指定避難場所）,36.575809,136.657412
明成小学校（指定避難場所）,36.576886,136.657155
此花町公民館（指定避難場所）,36.577133,136.651927
玉川苑（指定避難場所）,36.572044,136.650009
芳斎公民館（指定避難場所）,36.572038,136.64985
中央市民体育館（指定避難場所）,36.566616,136.645578
長土塀公民館（指定避難場所）,36.567145,136.645886
松ヶ枝公民館（指定避難場所）,36.569886,136.652842
中央公民館長町館（指定避難場所）,36.563203,136.650074
長町公民館（指定避難場所）,36.563425,136.649214
中央小学校（指定避難場所）,36.570202,136.650725
味噌蔵町公民館（指定避難場所）,36.56648,136.665274
兼六中学校（指定避難場所）,36.559645,136.680268
長町中学校芳斉分校（指定避難場所）,36.564487,136.664343
兼六小学校（指定避難場所）,36.565889,136.666004
材木公民館（指定避難場所）,36.566961,136.667532
菊川町公民館（指定避難場所）,36.551374,136.659961
城南中学校（指定避難場所）,36.543675,136.674374
新竪町公民館（指定避難場所）,36.55579,136.656861
遊学館高等学校（指定避難場所）,36.55549,136.660706
県立工業高等学校（指定避難場所）,36.556175,136.662596
旧新竪町小学校（指定避難場所）,36.555697,136.657037
金沢大学人間社会学域学校教育学類附属高等学校（指定避難場所）,36.538935,136.664171
金沢大学人間社会学域学校教育学類附属中学校（指定避難場所）,36.53798,136.665453
金沢大学人間社会学域学校教育学類附属小学校（指定避難場所）,36.536717,136.665861
長坂台小学校（指定避難場所）,36.535006,136.657517
城南市民体育館（指定避難場所）,36.54435,136.656784
金沢市総合体育館（指定避難場所）,36.539959,136.650192
金沢二水高等学校（指定避難場所）,36.541333,136.658383
金沢泉丘高等学校（指定避難場所）,36.538192,136.648872
泉野小学校（指定避難場所）,36.542372,136.654113
万寿苑（指定避難場所）,36.52532,136.677185
城南公民館（指定避難場所）,36.54176,136.661173
野田中学校（指定避難場所）,36.544536,136.657948
十一屋小学校（指定避難場所）,36.545327,136.660911
中村町公民館（指定避難場所）,36.559456,136.641941
中村町小学校（指定避難場所）,36.560838,136.641925
弥生公民館（指定避難場所）,36.549388,136.644677
泉中学校（指定避難場所）,36.54944004,136.6462487
野町公民館（指定避難場所）,36.55263572,136.6476828
金沢中央高等学校（指定避難場所）,36.554034,136.639015
泉小学校（指定避難場所）,36.54916854,136.6452616
長土塀青少年交流センター（指定避難場所）,36.56705049,136.645264
いしかわ子ども交流センター（指定避難場所）,36.545958,136.663605
金沢工業大学天池自然学苑体育館（指定避難場所）,36.50285,136.695739
金沢学院大学（指定避難場所）,36.516559,136.6965
北陸学院大学（指定避難場所）,36.518109,136.67056
北陸学院小学校（指定避難場所）,36.517617,136.671891
金沢星稜大学（指定避難場所）,36.583939,136.68156
北陸大学（指定避難場所）,36.525431,136.70751
金沢大学角間キャンパス（指定避難場所）,36.545988,136.708733
金沢大学鶴間キャンパス（指定避難場所）,36.55481807,136.6772604
金沢海みらい図書館（指定避難場所）,36.594339,136.604294
石川県青少年総合研修センター（指定避難場所）,36.56553,136.676434
いしかわ総合スポーツセンター（指定避難場所）,36.579458,136.598275
金石町小学校（指定避難場所）,36.609002,136.598739
キゴ山ふれあい研修センターこども交流棟（指定避難場所）,36.517923,136.742942
キゴ山ふれあい研修センター青少年交流棟（指定避難場所）,36.52372,136.746017
金沢勤労者プラザ（指定避難場所）,36.583184,136.646533
女性センター（指定避難場所）,36.570588,136.645374
犀川公民館（指定避難場所）,36.516912,136.688079
近江町いちば館（指定避難場所）,36.571488,136.655875
国際高等専門学校（指定避難場所）,36.532653,136.629426
金沢大学人間社会学域学校教育学類附属特別支援学校（指定避難場所）,36.562778,136.666093
旧野町小学校（指定避難場所）,36.552767,136.648021
金沢プール（指定避難場所）,36.59708376,136.6598958
東浅川公民館（指定避難場所）,36.52042747,136.7054694
金沢市文化ホール,36.56644764,136.6527718
中央公民館彦三館（指定避難場所）,36.574751,136.659565
城北児童会館（指定避難場所）,36.589636,136.671885
四十万公民館（指定避難場所）,36.503735,136.618804
湖南学院（指定避難場所）,36.517353,136.703195
旧材木町小学校体育館（指定避難場所）,36.566741,136.668076
犀桜小学校（指定避難場所）,36.55,136.661688
朝霧台小学校（指定避難場所）,36.537275,136.69373
長町中学校（指定避難場所）,36.567127,136.650409
